iter	Passed	Remaining
418	2029	2813
419	2030	2804
420	2032	2794
421	2033	2785
422	2035	2776
423	2036	2766
424	2037	2756
425	2039	2747
426	2040	2738
427	2042	2729
428	2043	2719
429	2045	2711
430	2046	2702
431	2048	2693
432	2049	2683
433	2051	2674
434	2052	2665
435	2053	2656
436	2055	2647
437	2056	2638
438	2058	2630
439	2059	2621
440	2060	2612
441	2062	2603
442	2063	2594
443	2064	2585
444	2066	2576
445	2067	2568
446	2068	2559
447	2070	2550
448	2071	2542
449	2073	2533
450	2074	2525
451	2075	2516
452	2077	2508
453	2078	2499
454	2080	2491
455	2081	2482
456	2082	2474
457	2083	2466
458	2085	2457
459	2086	2449
460	2088	2441
461	2089	2433
462	2090	2425
463	2092	2416
464	2093	2408
465	2094	2400
466	2096	2392
467	2097	2384
468	2099	2376
469	2100	2368
470	2102	2361
471	2103	2353
472	2105	2345
473	2106	2337
474	2108	2330
475	2109	2322
476	2111	2314
477	2113	2307
478	2114	2299
479	2116	2292
480	2117	2285
481	2119	2278
482	2122	2271
483	2125	2265
484	2127	2258
485	2128	2251
486	2130	2244
487	2132	2237
488	2133	2229
489	2135	2223
490	2137	2215
491	2138	2208
492	2140	2201
493	2143	2195
494	2145	2188
495	2147	2181
496	2148	2174
497	2151	2168
498	2153	2161
499	2154	2154
500	2156	2148
501	2159	2141
502	2160	2135
503	2162	2128
504	2164	2121
505	2165	2114
506	2167	2107
507	2168	2100
508	2169	2093
509	2171	2086
510	2172	2079
511	2173	2071
512	2175	2064
513	2176	2057
514	2177	2050
515	2179	2043
516	2180	2037
517	2181	2030
518	2183	2024
519	2185	2017
520	2187	2011
521	2189	2004
522	2191	1998
523	2192	1991
524	2194	1985
525	2195	1978
526	2197	1972
527	2198	1965
528	2200	1958
529	2201	1952
530	2203	1945
531	2204	1939
532	2205	1932
533	2207	1926
534	2208	1919
535	2209	1913
536	2211	1906
537	2212	1900
538	2214	1893
539	2215	1887
540	2217	1881
541	2218	1874
542	2219	1868
543	2221	1862
544	2222	1855
545	2224	1849
546	2225	1843
547	2227	1836
548	2228	1830
549	2229	1824
550	2231	1818
551	2232	1811
552	2233	1805
553	2234	1799
554	2236	1793
555	2237	1786
556	2238	1780
557	2239	1774
558	2241	1768
559	2242	1762
560	2244	1756
561	2245	1750
562	2246	1744
563	2248	1738
564	2249	1731
565	2250	1725
566	2252	1719
567	2253	1713
568	2254	1708
569	2256	1702
570	2257	1696
571	2258	1690
572	2260	1684
573	2261	1678
574	2262	1672
575	2264	1666
576	2265	1661
577	2267	1655
578	2269	1649
579	2270	1644
580	2271	1638
581	2273	1632
582	2275	1627
583	2276	1621
584	2277	1615
585	2279	1610
586	2281	1604
587	2282	1599
588	2283	1593
589	2285	1588
590	2286	1582
591	2288	1576
592	2289	1571
593	2291	1566
594	2292	1560
595	2294	1555
596	2295	1549
597	2297	1544
598	2298	1539
599	2300	1533
600	2302	1528
601	2304	1523
602	2306	1518
603	2307	1513
604	2309	1507
605	2311	1502
606	2312	1497
607	2315	1492
608	2316	1487
609	2318	1482
610	2320	1477
611	2321	1471
612	2323	1466
613	2324	1461
614	2326	1456
615	2327	1451
616	2329	1445
617	2331	1441
618	2333	1436
619	2335	1431
620	2336	1426
621	2338	1420
622	2339	1415
623	2341	1410
624	2342	1405
625	2343	1400
626	2345	1395
627	2346	1390
628	2348	1384
629	2349	1379
630	2350	1374
631	2352	1369
632	2353	1364
633	2355	1359
634	2356	1354
635	2357	1349
636	2359	1344
637	2360	1339
638	2362	1334
639	2364	1329
640	2365	1324
641	2367	1319
642	2368	1314
643	2369	1310
644	2371	1305
645	2372	1300
646	2374	1295
647	2375	1290
648	2377	1285
649	2378	1280
650	2380	1276
651	2381	1271
652	2383	1266
653	2384	1261
654	2386	1257
655	2388	1252
656	2389	1247
657	2390	1242
658	2392	1237
659	2393	1233
660	2395	1228
661	2396	1223
662	2398	1219
663	2399	1214
664	2401	1209
665	2402	1204
666	2404	1200
667	2405	1195
668	2407	1191
669	2408	1186
670	2409	1181
671	2411	1176
672	2412	1172
673	2414	1167
674	2415	1162
675	2416	1158
676	2418	1154
677	2420	1149
678	2423	1145
679	2425	1141
680	2427	1137
681	2429	1132
682	2432	1128
683	2434	1124
684	2436	1120
685	2439	1116
686	2441	1112
687	2443	1108
688	2444	1103
689	2446	1099
690	2448	1094
691	2450	1090
692	2451	1086
693	2453	1081
694	2456	1078
695	2459	1074
696	2462	1070
697	2466	1067
698	2469	1063
699	2471	1059
700	2473	1054
701	2474	1050
702	2476	1046
703	2477	1041
704	2479	1037
705	2484	1034
706	2487	1030
707	2489	1026
708	2492	1023
709	2494	1018
710	2496	1014
711	2498	1010
712	2500	1006
713	2502	1002
714	2504	998
715	2506	994
716	2508	989
717	2509	985
718	2513	982
719	2515	978
720	2516	973
721	2518	969
722	2520	965
723	2522	961
724	2524	957
725	2525	953
726	2527	949
727	2529	945
728	2531	941
729	2533	937
730	2543	936
731	2545	931
732	2547	927
733	2548	923
734	2549	919
735	2551	915
736	2553	911
737	2554	906
738	2556	902
739	2557	898
740	2559	894
741	2560	890
742	2562	886
743	2563	882
744	2564	877
745	2565	873
746	2567	869
747	2569	865
748	2570	861
749	2572	857
750	2573	853
751	2575	849
752	2576	845
753	2578	841
754	2579	837
755	2580	832
756	2582	828
757	2583	824
758	2585	820
759	2586	816
760	2587	812
761	2589	808
762	2591	804
763	2593	801
764	2594	797
765	2596	793
766	2598	789
767	2599	785
768	2601	781
769	2602	777
770	2604	773
771	2605	769
772	2607	765
773	2609	761
774	2611	758
775	2612	754
776	2614	750
777	2616	746
778	2617	742
779	2619	738
780	2620	734
781	2624	731
782	2626	727
783	2628	724
784	2630	720
785	2632	716
786	2634	713
787	2636	709
788	2638	705
789	2640	701
790	2642	698
791	2643	694
792	2645	690
793	2647	686
794	2649	683
795	2651	679
796	2654	676
797	2655	672
798	2657	668
799	2659	664
800	2661	661
801	2663	657
802	2665	653
803	2666	650
804	2668	646
805	2670	642
806	2674	639
807	2676	636
808	2679	632
809	2683	629
810	2686	626
811	2690	623
812	2693	619
813	2696	616
814	2702	613
815	2704	609
816	2705	606
817	2707	602
818	2709	598
819	2711	595
